epoch,step,test_acc,test_f1,test_loss,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss
0,1744,,,,,,,0.6442903876304626,0.6389985084533691,0.8072922229766846
0,1744,,,,0.6309878826141357,0.6255064606666565,0.8667404651641846,,,
1,3489,,,,,,,0.6603559851646423,0.6552016735076904,0.7776010036468506
1,3489,,,,0.6932018399238586,0.6880230903625488,0.7723203897476196,,,
2,5234,,,,,,,0.6627557873725891,0.6575130820274353,0.7450191378593445
2,5234,,,,0.71022629737854,0.7044793367385864,0.7382414937019348,,,
3,6979,,,,,,,0.6631557941436768,0.6582507491111755,0.7486720085144043
3,6979,,,,0.7160652875900269,0.7098684310913086,0.7230083346366882,,,
4,8724,,,,,,,0.6642223596572876,0.6589792370796204,0.7250515818595886
4,8724,,,,0.7198534607887268,0.7134995460510254,0.7120344042778015,,,
5,10469,,,,,,,0.666688859462738,0.6609545350074768,0.7256608009338379
5,10469,,,,0.7230237126350403,0.7167220115661621,0.7041854858398438,,,
6,12214,,,,,,,0.6675555109977722,0.6619720458984375,0.7216977477073669
6,12214,,,,0.7246267795562744,0.7181841135025024,0.6960504651069641,,,
7,13959,,,,,,,0.6664888858795166,0.661282479763031,0.7338321208953857
7,13959,,,,0.7248417139053345,0.7181763052940369,0.6929014921188354,,,
8,15704,,,,,,,0.6676888465881348,0.6620457768440247,0.718076765537262
8,15704,,,,0.7266417741775513,0.7201480865478516,0.6894835829734802,,,
9,17449,,,,,,,0.6683554649353027,0.6630987524986267,0.7139851450920105
9,17449,,,,0.7267492413520813,0.7201077342033386,0.6833652257919312,,,
10,19194,,,,,,,0.6684887409210205,0.6626895666122437,0.716728150844574
10,19194,,,,0.727161169052124,0.7204918265342712,0.682090163230896,,,
11,20939,,,,,,,0.6676221489906311,0.6623638868331909,0.7111014127731323
11,20939,,,,0.7276179194450378,0.7208914160728455,0.6797069907188416,,,
12,22684,,,,,,,0.6676221489906311,0.6625861525535583,0.7183839678764343
12,22684,,,,0.7280388474464417,0.7212454080581665,0.6801853179931641,,,
13,24429,,,,,,,0.6680887937545776,0.6629469990730286,0.7242476940155029
13,24429,,,,0.7290418744087219,0.7223011255264282,0.6755543351173401,,,
14,26174,,,,,,,0.6695553660392761,0.6639967560768127,0.7091147303581238
14,26174,,,,0.7291045188903809,0.7223675847053528,0.675446093082428,,,
15,26175,0.6711999773979187,0.6649388074874878,0.7031252980232239,,,,,,
